主项名称:残疾人基本型辅助器具适配,不包括业务办理项, 不包括情形,所需材料为:残疾人证（0-17岁儿童无残疾人证可持县级以上具有诊断资质的医院出具的医学诊断）
主项名称:残疾人基本型辅助器具适配,不包括业务办理项, 不包括情形,所需材料为:户口本
主项名称:残疾人基本型辅助器具适配,不包括业务办理项, 不包括情形,所需材料为:残疾人精准康复服务补助申请审批表
主项名称:残疾人机动轮椅车燃油补贴发放,不包括业务办理项, 不包括情形,所需材料为:身份证
主项名称:残疾人机动轮椅车燃油补贴发放,不包括业务办理项, 不包括情形,所需材料为:残疾人机动轮椅车燃油补贴申请表
主项名称:残疾人机动轮椅车燃油补贴发放,不包括业务办理项, 不包括情形,所需材料为:机动轮椅车照片
主项名称:残疾人机动轮椅车燃油补贴发放,不包括业务办理项, 不包括情形,所需材料为:残疾人证
主项名称:残疾人机动轮椅车燃油补贴发放,不包括业务办理项, 不包括情形,所需材料为:购买机动轮椅车凭证
主项名称:残疾人证挂失补办,包括业务办理项:居住地申请, 该业务办理项不包括情形,所需材料为:证件照
主项名称:残疾人证挂失补办,包括业务办理项:居住地申请, 该业务办理项不包括情形,所需材料为:挂失补办申请表
主项名称:残疾人证挂失补办,包括业务办理项:居住地申请, 该业务办理项不包括情形,所需材料为:居民身份证
主项名称:残疾人证挂失补办,包括业务办理项:居住地申请, 该业务办理项不包括情形,所需材料为:残疾人证
主项名称:残疾人证挂失补办,包括业务办理项:居住地申请, 该业务办理项不包括情形,所需材料为:居住证
主项名称:残疾人证挂失补办,包括业务办理项:户籍地申请, 该业务办理项不包括情形,所需材料为:证件照
主项名称:残疾人证挂失补办,包括业务办理项:户籍地申请, 该业务办理项不包括情形,所需材料为:挂失补办申请表
主项名称:残疾人证挂失补办,包括业务办理项:户籍地申请, 该业务办理项不包括情形,所需材料为:居民身份证
主项名称:残疾人证挂失补办,包括业务办理项:户籍地申请, 该业务办理项不包括情形,所需材料为:残疾人证
主项名称:残疾人证换领,包括业务办理项:残损换新（居住地）, 该业务办理项不包括情形,所需材料为:居住证
主项名称:残疾人证换领,包括业务办理项:残损换新（居住地）, 该业务办理项不包括情形,所需材料为:居民身份证
主项名称:残疾人证换领,包括业务办理项:残损换新（居住地）, 该业务办理项不包括情形,所需材料为:残损换新申请表
主项名称:残疾人证换领,包括业务办理项:残损换新（居住地）, 该业务办理项不包括情形,所需材料为:证件照
主项名称:残疾人证换领,包括业务办理项:残损换新（居住地）, 该业务办理项不包括情形,所需材料为:残疾人证
主项名称:残疾人证换领,包括业务办理项:残疾类别（等级）发生变化或档案不全（户籍地申请）, 该业务办理项不包括情形,所需材料为:残疾评定表
主项名称:残疾人证换领,包括业务办理项:残疾类别（等级）发生变化或档案不全（户籍地申请）, 该业务办理项不包括情形,所需材料为:居民身份证
主项名称:残疾人证换领,包括业务办理项:残疾类别（等级）发生变化或档案不全（户籍地申请）, 该业务办理项不包括情形,所需材料为:证件照
主项名称:残疾人证换领,包括业务办理项:残疾类别（等级）发生变化或档案不全（户籍地申请）, 该业务办理项不包括情形,所需材料为:户口簿
主项名称:残疾人证换领,包括业务办理项:残疾类别（等级）发生变化或档案不全（户籍地申请）, 该业务办理项不包括情形,所需材料为:残疾人证
主项名称:残疾人证换领,包括业务办理项:残疾类别（等级）发生变化或档案不全（户籍地申请）, 该业务办理项不包括情形,所需材料为:旧证换新申请表
主项名称:残疾人证换领,包括业务办理项:残疾类别（等级）未发生变化、档案齐全（户籍地申请）, 该业务办理项不包括情形,所需材料为:居民身份证
主项名称:残疾人证换领,包括业务办理项:残疾类别（等级）未发生变化、档案齐全（户籍地申请）, 该业务办理项不包括情形,所需材料为:证件照
主项名称:残疾人证换领,包括业务办理项:残疾类别（等级）未发生变化、档案齐全（户籍地申请）, 该业务办理项不包括情形,所需材料为:户口簿
